class, exp, lyamda, value
1,1,178.57,28
1,1,178.61,42
1,1,178.66,21
1,1,178.7,34.2
1,1,178.74,18.4
1,1,178.79,61
1,1,178.83,57.2
1,1,178.87,5.6
1,1,178.92,27.4
1,1,178.96,30.4
1,1,179.01,-9.4
1,1,179.05,54.4
1,1,179.09,9.8
1,1,179.14,84.2
1,1,179.18,36.2
1,1,179.22,116.4
1,1,179.27,64.6
1,1,179.31,87.4
1,1,179.35,8
1,1,179.4,-36.4
1,1,179.44,60.8
1,1,179.48,4
1,1,179.53,-43.8
1,1,179.57,18.4
1,1,179.62,17.4
1,1,179.66,33
1,1,179.7,67.6
1,1,179.75,10.4
1,1,179.79,98.2
1,1,179.83,4.4
1,1,179.88,8.4
1,1,179.92,12
1,1,179.96,75.8
1,1,180.01,55
1,1,180.05,31.4
1,1,180.09,60
1,1,180.14,-48.6
1,1,180.18,87
1,1,180.22,35.6
1,1,180.27,74
1,1,180.31,59.6
1,1,180.35,24.6
1,1,180.4,13.4
1,1,180.44,76
1,1,180.48,38.2
1,1,180.53,52.8
1,1,180.57,37.8
1,1,180.61,34.8
1,1,180.66,89.6
1,1,180.7,19.4
1,1,180.74,53.6
1,1,180.79,69.2
1,1,180.83,-0.79999
1,1,180.88,-26.6
1,1,180.92,60.6
1,1,180.96,0.59998
1,1,181.01,23
1,1,181.05,-4.6
1,1,181.09,36
1,1,181.14,-16.8
1,1,181.18,-8.4
1,1,181.22,83.8
1,1,181.27,-17.4
1,1,181.31,-9.8
1,1,181.35,21.8
1,1,181.4,-2
1,1,181.44,72.8
1,1,181.48,12.2
1,1,181.53,16.2
1,1,181.57,29.8
1,1,181.61,16.8
1,1,181.65,-51.2
1,1,181.7,55.6
1,1,181.74,52.8
1,1,181.78,67.8
1,1,181.83,-55.4
1,1,181.87,34.2
1,1,181.91,39
1,1,181.96,63.2
1,1,182,37.6
1,1,182.04,-12.2
1,1,182.09,17.8
1,1,182.13,15.8
1,1,182.17,62.6
1,1,182.22,-8.6
1,1,182.26,20.2
1,1,182.3,29.2
1,1,182.35,37
1,1,182.39,26.2
1,1,182.43,11.2
1,1,182.48,28.2
1,1,182.52,69.4
1,1,182.56,55.4
1,1,182.61,62.2
1,1,182.65,41.8
1,1,182.69,30.4
1,1,182.74,-29.4
1,1,182.78,26.6
1,1,182.82,39.4
1,1,182.86,31.2
1,1,182.91,68.2
1,1,182.95,42.6
1,1,182.99,51.6
1,1,183.04,52.2
1,1,183.08,49.8
